,feature_combination,best_n_neighbors,best_cv_score
0,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'ca')",14,0.8166753246753247
1,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'oldpeak')",28,0.7433560845460159
2,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'thalach')",8,0.7789124986378992
3,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'exang')",10,0.7815552161204335
4,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'slope_1.0')",12,0.7934799290886247
5,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'slope_2.0')",14,0.7824739897783376
6,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'cp_3.0')",4,0.7316446207465698
7,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'sex')",16,0.7304674383587427
8,"('thal_3.0', 'cp_4.0', 'thal_7.0', 'age')",26,0.7396503496503497
9,"('thal_3.0', 'cp_4.0', 'ca', 'oldpeak')",10,0.7976330153446858
10,"('thal_3.0', 'cp_4.0', 'ca', 'thalach')",6,0.7990460296547253
11,"('thal_3.0', 'cp_4.0', 'ca', 'exang')",12,0.802321157103766
12,"('thal_3.0', 'cp_4.0', 'ca', 'slope_1.0')",12,0.7999585804781659
13,"('thal_3.0', 'cp_4.0', 'ca', 'slope_2.0')",38,0.7969800489365707
14,"('thal_3.0', 'cp_4.0', 'ca', 'cp_3.0')",10,0.7679793011762321
15,"('thal_3.0', 'cp_4.0', 'ca', 'sex')",36,0.8080291882031012
16,"('thal_3.0', 'cp_4.0', 'ca', 'age')",6,0.7859466620336184
17,"('thal_3.0', 'cp_4.0', 'oldpeak', 'thalach')",14,0.7725682288725767
18,"('thal_3.0', 'cp_4.0', 'oldpeak', 'exang')",22,0.7822960942230023
19,"('thal_3.0', 'cp_4.0', 'oldpeak', 'slope_1.0')",30,0.7747102494928582
20,"('thal_3.0', 'cp_4.0', 'oldpeak', 'slope_2.0')",32,0.780845531280314
21,"('thal_3.0', 'cp_4.0', 'oldpeak', 'cp_3.0')",8,0.7204353617397096
22,"('thal_3.0', 'cp_4.0', 'oldpeak', 'sex')",12,0.7662804586717631
23,"('thal_3.0', 'cp_4.0', 'oldpeak', 'age')",40,0.7825679151766108
24,"('thal_3.0', 'cp_4.0', 'thalach', 'exang')",22,0.795734989648033
25,"('thal_3.0', 'cp_4.0', 'thalach', 'slope_1.0')",38,0.7882451568263925
26,"('thal_3.0', 'cp_4.0', 'thalach', 'slope_2.0')",26,0.7967024280067758
27,"('thal_3.0', 'cp_4.0', 'thalach', 'cp_3.0')",8,0.7530331262939958
28,"('thal_3.0', 'cp_4.0', 'thalach', 'sex')",36,0.785995853879149
29,"('thal_3.0', 'cp_4.0', 'thalach', 'age')",36,0.7847845289721721
30,"('thal_3.0', 'cp_4.0', 'exang', 'slope_1.0')",34,0.7719329945416902
31,"('thal_3.0', 'cp_4.0', 'exang', 'slope_2.0')",40,0.7971080368906456
32,"('thal_3.0', 'cp_4.0', 'exang', 'cp_3.0')",36,0.7670897005359247
33,"('thal_3.0', 'cp_4.0', 'exang', 'sex')",40,0.7746234345364781
34,"('thal_3.0', 'cp_4.0', 'exang', 'age')",34,0.7932961241656893
35,"('thal_3.0', 'cp_4.0', 'slope_1.0', 'slope_2.0')",22,0.7675382186251751
36,"('thal_3.0', 'cp_4.0', 'slope_1.0', 'cp_3.0')",6,0.7677239057239057
37,"('thal_3.0', 'cp_4.0', 'slope_1.0', 'sex')",2,0.767954822954823
38,"('thal_3.0', 'cp_4.0', 'slope_1.0', 'age')",14,0.7918115218115218
39,"('thal_3.0', 'cp_4.0', 'slope_2.0', 'cp_3.0')",10,0.7777002627002627
40,"('thal_3.0', 'cp_4.0', 'slope_2.0', 'sex')",2,0.7774590787634266
41,"('thal_3.0', 'cp_4.0', 'slope_2.0', 'age')",14,0.7852900432900433
42,"('thal_3.0', 'cp_4.0', 'cp_3.0', 'sex')",8,0.7475969469127364
43,"('thal_3.0', 'cp_4.0', 'cp_3.0', 'age')",26,0.74071864443718
44,"('thal_3.0', 'cp_4.0', 'sex', 'age')",6,0.7810594687116426
45,"('thal_3.0', 'thal_7.0', 'ca', 'oldpeak')",6,0.764052237617455
46,"('thal_3.0', 'thal_7.0', 'ca', 'thalach')",36,0.7562478825522304
47,"('thal_3.0', 'thal_7.0', 'ca', 'exang')",28,0.782450781102955
48,"('thal_3.0', 'thal_7.0', 'ca', 'slope_1.0')",26,0.7778738942217204
49,"('thal_3.0', 'thal_7.0', 'ca', 'slope_2.0')",26,0.7881317523056655
50,"('thal_3.0', 'thal_7.0', 'ca', 'cp_3.0')",18,0.8005957086391868
51,"('thal_3.0', 'thal_7.0', 'ca', 'sex')",14,0.8056843768148114
52,"('thal_3.0', 'thal_7.0', 'ca', 'age')",8,0.7795675805675806
53,"('thal_3.0', 'thal_7.0', 'oldpeak', 'thalach')",26,0.7475504472644061
54,"('thal_3.0', 'thal_7.0', 'oldpeak', 'exang')",26,0.7549902705989663
55,"('thal_3.0', 'thal_7.0', 'oldpeak', 'slope_1.0')",38,0.7403840629241086
56,"('thal_3.0', 'thal_7.0', 'oldpeak', 'slope_2.0')",32,0.7496283693423281
57,"('thal_3.0', 'thal_7.0', 'oldpeak', 'cp_3.0')",32,0.7326718476031977
58,"('thal_3.0', 'thal_7.0', 'oldpeak', 'sex')",30,0.7343222838542532
59,"('thal_3.0', 'thal_7.0', 'oldpeak', 'age')",10,0.7728703534790491
60,"('thal_3.0', 'thal_7.0', 'thalach', 'exang')",14,0.7675558209906036
61,"('thal_3.0', 'thal_7.0', 'thalach', 'slope_1.0')",4,0.7421599334642812
62,"('thal_3.0', 'thal_7.0', 'thalach', 'slope_2.0')",38,0.7327103331451158
63,"('thal_3.0', 'thal_7.0', 'thalach', 'cp_3.0')",36,0.7390853616254074
64,"('thal_3.0', 'thal_7.0', 'thalach', 'sex')",14,0.778455486542443
65,"('thal_3.0', 'thal_7.0', 'thalach', 'age')",8,0.7894513457556936
66,"('thal_3.0', 'thal_7.0', 'exang', 'slope_1.0')",22,0.7641033057120014
67,"('thal_3.0', 'thal_7.0', 'exang', 'slope_2.0')",24,0.7592600008686966
68,"('thal_3.0', 'thal_7.0', 'exang', 'cp_3.0')",24,0.7793244871070958
69,"('thal_3.0', 'thal_7.0', 'exang', 'sex')",14,0.7600731876818834
70,"('thal_3.0', 'thal_7.0', 'exang', 'age')",34,0.7571948051948052
71,"('thal_3.0', 'thal_7.0', 'slope_1.0', 'slope_2.0')",2,0.748615866891729
72,"('thal_3.0', 'thal_7.0', 'slope_1.0', 'cp_3.0')",20,0.7649808162851641
73,"('thal_3.0', 'thal_7.0', 'slope_1.0', 'sex')",20,0.7575161102987191
74,"('thal_3.0', 'thal_7.0', 'slope_1.0', 'age')",12,0.7711897629449117
75,"('thal_3.0', 'thal_7.0', 'slope_2.0', 'cp_3.0')",20,0.7662132505175983
76,"('thal_3.0', 'thal_7.0', 'slope_2.0', 'sex')",14,0.7626068713894802
77,"('thal_3.0', 'thal_7.0', 'slope_2.0', 'age')",30,0.7573072643942209
78,"('thal_3.0', 'thal_7.0', 'cp_3.0', 'sex')",20,0.7026617928219758
79,"('thal_3.0', 'thal_7.0', 'cp_3.0', 'age')",20,0.7666141507445856
80,"('thal_3.0', 'thal_7.0', 'sex', 'age')",8,0.7699857549857549
81,"('thal_3.0', 'ca', 'oldpeak', 'thalach')",36,0.775840956145304
82,"('thal_3.0', 'ca', 'oldpeak', 'exang')",38,0.8007517806373642
83,"('thal_3.0', 'ca', 'oldpeak', 'slope_1.0')",40,0.7837756446452099
84,"('thal_3.0', 'ca', 'oldpeak', 'slope_2.0')",40,0.7805193698032572
85,"('thal_3.0', 'ca', 'oldpeak', 'cp_3.0')",6,0.7958031817322435
86,"('thal_3.0', 'ca', 'oldpeak', 'sex')",6,0.7977292958757489
87,"('thal_3.0', 'ca', 'oldpeak', 'age')",24,0.755652090260786
88,"('thal_3.0', 'ca', 'thalach', 'exang')",6,0.8085091681773603
89,"('thal_3.0', 'ca', 'thalach', 'slope_1.0')",22,0.7823022774327122
90,"('thal_3.0', 'ca', 'thalach', 'slope_2.0')",28,0.761801242236025
91,"('thal_3.0', 'ca', 'thalach', 'cp_3.0')",30,0.7887240730284208
92,"('thal_3.0', 'ca', 'thalach', 'sex')",20,0.798579947893449
93,"('thal_3.0', 'ca', 'thalach', 'age')",20,0.7793572369659326
94,"('thal_3.0', 'ca', 'exang', 'slope_1.0')",26,0.8041511387163561
95,"('thal_3.0', 'ca', 'exang', 'slope_2.0')",36,0.8042149841005676
96,"('thal_3.0', 'ca', 'exang', 'cp_3.0')",34,0.7952039838286977
97,"('thal_3.0', 'ca', 'exang', 'sex')",6,0.7988694166245653
98,"('thal_3.0', 'ca', 'exang', 'age')",30,0.8004901185770752
99,"('thal_3.0', 'ca', 'slope_1.0', 'slope_2.0')",30,0.7834914361001317
100,"('thal_3.0', 'ca', 'slope_1.0', 'cp_3.0')",22,0.8017710550319246
101,"('thal_3.0', 'ca', 'slope_1.0', 'sex')",4,0.7916867335562988
102,"('thal_3.0', 'ca', 'slope_1.0', 'age')",24,0.7853069828722004
103,"('thal_3.0', 'ca', 'slope_2.0', 'cp_3.0')",34,0.814041031432336
104,"('thal_3.0', 'ca', 'slope_2.0', 'sex')",34,0.7798769057029927
105,"('thal_3.0', 'ca', 'slope_2.0', 'age')",4,0.7957522149856245
106,"('thal_3.0', 'ca', 'cp_3.0', 'sex')",22,0.8091096471966038
107,"('thal_3.0', 'ca', 'cp_3.0', 'age')",4,0.7916777425473078
108,"('thal_3.0', 'ca', 'sex', 'age')",12,0.8006305288913984
109,"('thal_3.0', 'oldpeak', 'thalach', 'exang')",14,0.768587803500847
110,"('thal_3.0', 'oldpeak', 'thalach', 'slope_1.0')",28,0.7501735366083191
111,"('thal_3.0', 'oldpeak', 'thalach', 'slope_2.0')",28,0.7554376058723885
112,"('thal_3.0', 'oldpeak', 'thalach', 'cp_3.0')",40,0.774411820063994
113,"('thal_3.0', 'oldpeak', 'thalach', 'sex')",26,0.7723854696028609
114,"('thal_3.0', 'oldpeak', 'thalach', 'age')",40,0.7597980425371731
115,"('thal_3.0', 'oldpeak', 'exang', 'slope_1.0')",22,0.7616367400715226
116,"('thal_3.0', 'oldpeak', 'exang', 'slope_2.0')",6,0.7859876789876791
117,"('thal_3.0', 'oldpeak', 'exang', 'cp_3.0')",26,0.7777340485601354
118,"('thal_3.0', 'oldpeak', 'exang', 'sex')",28,0.7527724739029087
119,"('thal_3.0', 'oldpeak', 'exang', 'age')",40,0.77039510832417
120,"('thal_3.0', 'oldpeak', 'slope_1.0', 'slope_2.0')",28,0.74827950310559
121,"('thal_3.0', 'oldpeak', 'slope_1.0', 'cp_3.0')",10,0.7739795598926034
122,"('thal_3.0', 'oldpeak', 'slope_1.0', 'sex')",28,0.7527863585689671
123,"('thal_3.0', 'oldpeak', 'slope_1.0', 'age')",16,0.7515017972111794
124,"('thal_3.0', 'oldpeak', 'slope_2.0', 'cp_3.0')",36,0.781874835309618
125,"('thal_3.0', 'oldpeak', 'slope_2.0', 'sex')",30,0.758555589338198
126,"('thal_3.0', 'oldpeak', 'slope_2.0', 'age')",26,0.7540585737679559
127,"('thal_3.0', 'oldpeak', 'cp_3.0', 'sex')",10,0.7520616050616051
128,"('thal_3.0', 'oldpeak', 'cp_3.0', 'age')",8,0.7617865709170057
129,"('thal_3.0', 'oldpeak', 'sex', 'age')",36,0.7498577075098815
130,"('thal_3.0', 'thalach', 'exang', 'slope_1.0')",30,0.7677348014304536
131,"('thal_3.0', 'thalach', 'exang', 'slope_2.0')",34,0.7647956353333927
132,"('thal_3.0', 'thalach', 'exang', 'cp_3.0')",24,0.7928881987577641
133,"('thal_3.0', 'thalach', 'exang', 'sex')",40,0.7579328063241106
134,"('thal_3.0', 'thalach', 'exang', 'age')",4,0.7699514607775477
135,"('thal_3.0', 'thalach', 'slope_1.0', 'slope_2.0')",22,0.7336564192651149
136,"('thal_3.0', 'thalach', 'slope_1.0', 'cp_3.0')",8,0.763481706699098
137,"('thal_3.0', 'thalach', 'slope_1.0', 'sex')",12,0.7571294647381603
138,"('thal_3.0', 'thalach', 'slope_1.0', 'age')",6,0.7592717861848296
139,"('thal_3.0', 'thalach', 'slope_2.0', 'cp_3.0')",8,0.7830625091494656
140,"('thal_3.0', 'thalach', 'slope_2.0', 'sex')",32,0.756047532177967
141,"('thal_3.0', 'thalach', 'slope_2.0', 'age')",10,0.7567391304347826
142,"('thal_3.0', 'thalach', 'cp_3.0', 'sex')",6,0.7679462952506431
143,"('thal_3.0', 'thalach', 'cp_3.0', 'age')",6,0.760331692739489
144,"('thal_3.0', 'thalach', 'sex', 'age')",4,0.7897642971720933
145,"('thal_3.0', 'exang', 'slope_1.0', 'slope_2.0')",4,0.772755505364201
146,"('thal_3.0', 'exang', 'slope_1.0', 'cp_3.0')",20,0.7558593618433436
147,"('thal_3.0', 'exang', 'slope_1.0', 'sex')",4,0.7714808476547607
148,"('thal_3.0', 'exang', 'slope_1.0', 'age')",8,0.7662580205623684
149,"('thal_3.0', 'exang', 'slope_2.0', 'cp_3.0')",38,0.7865191040843216
150,"('thal_3.0', 'exang', 'slope_2.0', 'sex')",4,0.7750591154814306
151,"('thal_3.0', 'exang', 'slope_2.0', 'age')",36,0.7784854527623406
152,"('thal_3.0', 'exang', 'cp_3.0', 'sex')",26,0.7435274946258927
153,"('thal_3.0', 'exang', 'cp_3.0', 'age')",22,0.769549595332204
154,"('thal_3.0', 'exang', 'sex', 'age')",6,0.7647377826238395
155,"('thal_3.0', 'slope_1.0', 'slope_2.0', 'cp_3.0')",8,0.7783874981701069
156,"('thal_3.0', 'slope_1.0', 'slope_2.0', 'sex')",12,0.7642393500219588
157,"('thal_3.0', 'slope_1.0', 'slope_2.0', 'age')",24,0.7507233989842685
158,"('thal_3.0', 'slope_1.0', 'cp_3.0', 'sex')",14,0.7772347652347652
159,"('thal_3.0', 'slope_1.0', 'cp_3.0', 'age')",16,0.7648464574665947
160,"('thal_3.0', 'slope_1.0', 'sex', 'age')",38,0.7714495214929997
161,"('thal_3.0', 'slope_2.0', 'cp_3.0', 'sex')",6,0.7681611351611352
162,"('thal_3.0', 'slope_2.0', 'cp_3.0', 'age')",26,0.7810948471818037
163,"('thal_3.0', 'slope_2.0', 'sex', 'age')",8,0.7582355293659641
164,"('thal_3.0', 'cp_3.0', 'sex', 'age')",8,0.7661742205820167
165,"('cp_4.0', 'thal_7.0', 'ca', 'oldpeak')",10,0.8039439507860562
166,"('cp_4.0', 'thal_7.0', 'ca', 'thalach')",14,0.7956971975393028
167,"('cp_4.0', 'thal_7.0', 'ca', 'exang')",12,0.803906890211238
168,"('cp_4.0', 'thal_7.0', 'ca', 'slope_1.0')",40,0.8053152644456993
169,"('cp_4.0', 'thal_7.0', 'ca', 'slope_2.0')",14,0.7984962406015038
170,"('cp_4.0', 'thal_7.0', 'ca', 'cp_3.0')",24,0.7963158290984378
171,"('cp_4.0', 'thal_7.0', 'ca', 'sex')",36,0.8077287929461843
172,"('cp_4.0', 'thal_7.0', 'ca', 'age')",6,0.8063804456413152
173,"('cp_4.0', 'thal_7.0', 'oldpeak', 'thalach')",12,0.7795857727322258
174,"('cp_4.0', 'thal_7.0', 'oldpeak', 'exang')",26,0.7761394648236755
175,"('cp_4.0', 'thal_7.0', 'oldpeak', 'slope_1.0')",40,0.7900361956883695
176,"('cp_4.0', 'thal_7.0', 'oldpeak', 'slope_2.0')",26,0.7824133837177316
177,"('cp_4.0', 'thal_7.0', 'oldpeak', 'cp_3.0')",8,0.7376934659543355
178,"('cp_4.0', 'thal_7.0', 'oldpeak', 'sex')",24,0.765604465709729
179,"('cp_4.0', 'thal_7.0', 'oldpeak', 'age')",32,0.7711483253588517
180,"('cp_4.0', 'thal_7.0', 'thalach', 'exang')",10,0.7868715266426937
181,"('cp_4.0', 'thal_7.0', 'thalach', 'slope_1.0')",32,0.7913355919442876
182,"('cp_4.0', 'thal_7.0', 'thalach', 'slope_2.0')",40,0.7879575763671873
183,"('cp_4.0', 'thal_7.0', 'thalach', 'cp_3.0')",8,0.7406733119709294
184,"('cp_4.0', 'thal_7.0', 'thalach', 'sex')",40,0.7784987019083129
185,"('cp_4.0', 'thal_7.0', 'thalach', 'age')",40,0.7725627859723969
186,"('cp_4.0', 'thal_7.0', 'exang', 'slope_1.0')",34,0.7740044335696509
187,"('cp_4.0', 'thal_7.0', 'exang', 'slope_2.0')",40,0.7773724385623699
188,"('cp_4.0', 'thal_7.0', 'exang', 'cp_3.0')",40,0.7611683754841648
189,"('cp_4.0', 'thal_7.0', 'exang', 'sex')",40,0.7701683244291939
190,"('cp_4.0', 'thal_7.0', 'exang', 'age')",38,0.7780964649385702
191,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'slope_2.0')",22,0.7798298722211766
192,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'cp_3.0')",10,0.7579036905123862
193,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'sex')",4,0.7765205004335439
194,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'age')",14,0.790774301382997
195,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'cp_3.0')",10,0.744838755447451
196,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'sex')",2,0.7774590787634266
197,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'age')",22,0.7775547907470104
198,"('cp_4.0', 'thal_7.0', 'cp_3.0', 'sex')",16,0.7458105144283634
199,"('cp_4.0', 'thal_7.0', 'cp_3.0', 'age')",20,0.7439171050155032
200,"('cp_4.0', 'thal_7.0', 'sex', 'age')",6,0.7557630485456573
201,"('cp_4.0', 'ca', 'oldpeak', 'thalach')",28,0.7803738793624376
202,"('cp_4.0', 'ca', 'oldpeak', 'exang')",22,0.7737313855734907
203,"('cp_4.0', 'ca', 'oldpeak', 'slope_1.0')",14,0.7649038050835062
204,"('cp_4.0', 'ca', 'oldpeak', 'slope_2.0')",14,0.7897393740104738
205,"('cp_4.0', 'ca', 'oldpeak', 'cp_3.0')",4,0.7623784733784734
206,"('cp_4.0', 'ca', 'oldpeak', 'sex')",12,0.793063492063492
207,"('cp_4.0', 'ca', 'oldpeak', 'age')",28,0.7689167110838937
208,"('cp_4.0', 'ca', 'thalach', 'exang')",8,0.7733256939139292
209,"('cp_4.0', 'ca', 'thalach', 'slope_1.0')",14,0.7752780601041471
210,"('cp_4.0', 'ca', 'thalach', 'slope_2.0')",34,0.7673026693621658
211,"('cp_4.0', 'ca', 'thalach', 'cp_3.0')",30,0.7633968253968254
212,"('cp_4.0', 'ca', 'thalach', 'sex')",34,0.7779557640427206
213,"('cp_4.0', 'ca', 'thalach', 'age')",28,0.7777501230018392
214,"('cp_4.0', 'ca', 'exang', 'slope_1.0')",38,0.7761133895344422
